Category,Module Name,Purpose / Output Goal,Dependencies & Notes,Expertise Level,Team,OS,Application,Pre Config,Compliance Mapping
Database & Storage,redis_slowlog_entry_analyzer,Parse and alert on slow commands in Redis slowlog,Redis SLOWLOG,Level 3,Infrastructure Team,Linux,Redis,Slowlog configured; Thresholds defined,
Database & Storage,memsql_query_queue_depth_monitor,Alert when SingleStore (MemSQL) query queue depth grows large,SingleStore diagnostics API,Level 3,DBA Team,Linux,SingleStore (MemSQL),Diagnostics enabled; Queue depth thresholds defined,
Database & Storage,mongodb_javascript_error_rate_monitor,Detect JavaScript execution errors in Mongo DB server logs,MongoDB server logs,Level 3,DBA Team,Linux,MongoDB,Server logging level set; Error patterns defined,
Database & Storage,scylla_compaction_throughput_monitor,Track compaction throughput to ensure cluster keeps up with load,Scylla monitoring API or Prometheus exporter,Level 4,DBA Team,Linux,Scylla,Exporter deployed; Throughput thresholds defined,
Database & Storage,cockroachdb_schema_change_lag_monitor,Alert when schema changes propagate slowly across nodes,CockroachDB Admin API,Level 3,DBA Team,"Linux, Windows",CockroachDB,Admin API enabled; Change lag thresholds defined,
Database & Storage,etcd_watch_event_drop_detector,Detect dropped watch events in etcd clusters,etcd metrics via Prometheus exporter,Level 4,Infrastructure Team,Linux,etcd,Exporter deployed; Drop rate thresholds defined,
Database & Storage,db_connection_pool_exhaustion_monitor,Alert when connection pool usage hits maximum,DB driver metrics; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Pool size definitions loaded; Metrics exporter configured,
Database & Storage,db_temp_table_spike_detector,Detect sudden increases in temporary table creation,DB temp table logs; agent,Level 3,DBA Team,"Windows, Linux","Oracle, MySQL, PostgreSQL",Temp table logging enabled; Alert rules defined,
Database & Storage,db_io_wait_event_analysis,Identify top queries by IO wait events,DB wait event views; agent,Level 4,DBA Team,"Windows, Linux","Oracle, SQL Server",Wait event collection enabled; Analysis scripts loaded,
Database & Storage,db_buffer_pool_flush_lag_monitor,Track delays in buffer pool flush operations,Performance counters; agent,Level 3,DBA Team,"Windows, Linux","MySQL/InnoDB, SQL Server",Flush metrics enabled; Alert thresholds defined,
Database & Storage,db_undo_tablespace_growth_monitor,Alert when undo/rollback tablespaces grow rapidly,DB system views; agent,Level 3,DBA Team,"Windows, Linux","Oracle, PostgreSQL",Undo tablespace logging enabled; Thresholds defined,
Database & Storage,db_large_object_storage_usage_monitor,Track usage of BLOB/CLOB/LOB storage,DB system views; agent,Level 2,DBA Team,"Windows, Linux","Oracle, PostgreSQL, SQL Server",LOB usage logging enabled; Alert rules defined,
Database & Storage,db_parallel_query_efficiency_checker,Measure performance of parallel queries,DB explain plans; agent,Level 4,DBA Team,"Windows, Linux","Oracle, PostgreSQL",Parallel options enabled; Metrics collected,
Database & Storage,db_lock_contention_analyzer,Identify sessions blocking others and lock wait chains,DB blocking session views; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/Postgres,Blocking analysis enabled; Alert thresholds defined,
Database & Storage,db_query_cache_hit_ratio_monitor,Monitor MySQL query cache hit/miss ratios,MySQL status variables; agent,Level 2,DBA Team,Linux,MySQL,Query cache enabled; Exporter configured,
Database & Storage,db_undo_retention_violation_detector,Detect undo retention policy violations,System views; agent,Level 3,DBA Team,"Windows, Linux",Oracle,Retention policy loaded; Agent configured,
Database & Storage,db_datafile_autoextend_usage_monitor,Alert when auto-extended datafiles grow excessively,OS file size metrics; agent,Level 3,Infrastructure Team,"Windows, Linux, macOS","Oracle, SQL Server",Autoextend log enabled; Alert thresholds defined,
Database & Storage,db_failed_transaction_rollbacks_monitor,Track count of rolled-back transactions due to errors,DB error logs; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/PostgreSQL,Rollback logging enabled; Patterns defined,
Database & Storage,db_hba_config_misconfiguration_checker,Validate PostgreSQL pg_hba.conf entries,Config file parser; agent,Level 2,Security Ops Team,Linux,PostgreSQL,HBA rules loaded; Parser enabled,
Database & Storage,db_ssl_configuration_audit,Ensure DB connections use TLS/SSL,DB config; certificate store,Level 3,Security Ops Team,"Windows, Linux",MySQL/Postgres/SQL Server,SSL certs loaded; Config check scripts configured,
Database & Storage,db_instance_capacity_planner,Forecast when DB instance CPU/memory will be exhausted,OS and DB metrics; ML model,Level 3,DBA Team,"Windows, Linux",Tenantra ML,Metrics export configured; Model endpoint integrated,
Database & Storage,db_schema_index_coverage_analyzer,Detect tables lacking supporting indexes,System catalog; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/PostgreSQL,Schema metadata loaded; Analysis scripts configured,
Database & Storage,db_ha_cluster_member_state_monitor,"Alert on unhealthy cluster members (fail, offline)",Cluster management API; agent,Level 3,Infrastructure Team,"Linux, Windows","Pacemaker, MySQL Group Rep, etc.",Clustering tool API creds configured; Alert rules defined,
Database & Storage,db_put_logical_replication_failure_detector,"Identify failures in logical replication (Postgres, MySQL)",Replication stream logs; agent,Level 4,DBA Team,"Linux, Windows","PostgreSQL, MySQL",Replication logging enabled; Failure patterns defined,
Database & Storage,db_sequence_cache_underflow_monitor,Alert when sequence cache underflows lead to IO,DB error logs; agent,Level 3,DBA Team,"Windows, Linux","Oracle, PostgreSQL",Sequence cache logging enabled; Alert thresholds defined,
Database & Storage,db_pluggable_db_status_monitor,Monitor Oracle pluggable DB open/close status,Oracle DB API; agent,Level 3,DBA Team,"Linux, Windows",Oracle,PDB monitoring enabled; Alert rules defined,
Database & Storage,db_schema_privilege_exposure_detector,Detect overly broad privileges granted at schema/table level,System privilege tables; agent,Level 3,Security Ops Team,"Windows, Linux",DB APIs,Privilege metadata loaded; Alert rules defined,
Database & Storage,db_high_concurrency_lock_wait_monitor,Track lock waits under high concurrency workloads,DB lock views; agent,Level 4,DBA Team,"Windows, Linux",SQL Server/MySQL/PostgreSQL,Concurrency metrics enabled; Alert thresholds defined,
Database & Storage,db_slow_ddl_operation_alert,"Alert when DDL operations (index rebuild, alter) exceed duration",DDL logging; agent,Level 3,DBA Team,"Windows, Linux","Oracle, PostgreSQL, SQL Server",DDL logging enabled; Thresholds defined,
Database & Storage,db_multi_tenant_connection_isolation_checker,Ensure tenant DB sessions cannot access other tenant schemas,Row-level security logs; agent,Level 4,Security Ops Team,"Windows, Linux","PostgreSQL (RLS), Tenantra CMDB",RLS policies loaded; Audit logging enabled,
Database & Storage,db_disk_failure_rate_monitor,Monitor OS disk failure rates for DB storage,SMART metrics; agent,Level 3,Infrastructure Team,"Linux, Windows",Agent (Tenantra),SMART monitoring enabled; Alert rules defined,
Database & Storage,db_backup_catalog_consistency_checker,Validate consistency between backup catalog and actual backups,Backup catalog DB; storage API,Level 3,Backup Team,"Windows, Linux, macOS",Backup Catalog DB,Catalog integration configured; Storage access enabled,
Database & Storage,db_o2m_foreign_key_violation_detector,Detect foreign key violations on insert/update,DB error logs; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/PostgreSQL,FK violation logging enabled; Patterns defined,
Database & Storage,db_job_scheduler_failure_monitor,"Alert on failures in DB job scheduler (cron, agent jobs)",Job logs; agent,Level 3,DBA Team,"Windows, Linux","SQL Agent, cron, orchestrators",Job log ingestion enabled; Failure patterns defined,
Database & Storage,db_cursor_leak_detector,Detect unclosed cursors leading to resource exhaustion,DB performance views; agent,Level 3,DBA Team,"Windows, Linux",MySQL/Postgres/SQL Server,Cursor monitoring enabled; Alert thresholds defined,
Database & Storage,db_stored_procedure_error_rate_monitor,Track errors thrown by stored procedures,Error logs; agent,Level 3,DBA Team,"Windows, Linux","Oracle, SQL Server, MySQL",Procedure error logging enabled; Patterns defined,
Database & Storage,db_connection_ssl_renegotiation_monitor,Alert on frequent SSL renegotiations in DB connections,DB SSL/TLS logs; agent,Level 4,Security Ops Team,"Windows, Linux",MySQL/Postgres/SQL Server,SSL logs enabled; Renegotiation thresholds defined,
Database & Storage,db_dynamic_vacuum_failure_detector,Detect failures in auto‐vacuum/autovacuum processes,Vacuum logs; agent,Level 3,DBA Team,Linux,PostgreSQL,Auto-vacuum logging enabled; Failure patterns defined,
Database & Storage,db_data_retention_violation_monitor,Monitor tables exceeding data retention policies,Table metadata; agent,Level 3,DBA Team,"Windows, Linux",SQL Server/MySQL/PostgreSQL,Retention policies loaded; Alert rules defined,
Database & Storage,db_error_log_rotation_status_checker,Verify that DB error logs are rotated as per policy,OS log rotation config; agent,Level 2,Infrastructure Team,"Linux, Windows",All DB Engines,Logrotate configs loaded; Rotation schedule defined,
Database & Storage,db_high_availability_failover_lag_monitor,Alert when HA failovers incur unacceptable lag,HA cluster logs; agent,Level 4,Infrastructure Team,"Linux, Windows","Pacemaker, AlwaysOn, etc.",HA event logging enabled; Alert thresholds defined,
Database & Storage,db_table_partition_usage_monitor,Track usage and size of partitioned tables,System catalog; agent,Level 3,DBA Team,"Windows, Linux","Oracle, PostgreSQL, SQL Server",Partition metadata loaded; Usage thresholds defined,
Database & Storage,db_backup_encrypt_status_verifier,Confirm backups are encrypted with approved algorithms,Backup API; encryption audit tool,Level 2,Backup Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Encryption policy configs loaded; Audit tool installed,
Database & Storage,db_schema_migration_conflict_detector,Detect conflicts between concurrent schema migrations,Migration logs; agent,Level 4,DBA Team,"Windows, Linux",Flyway/Liquibase,Migration history table loaded; Conflict rules defined,
Database & Storage,db_multi_master_conflict_resolution_checker,Monitor conflicts in multi-master replication setups,Multi-master logs; agent,Level 4,DBA Team,"Linux, Windows","Cassandra, MariaDB Galera",Replication logging enabled; Conflict policies loaded,
Operations & Support,incident_ticket_volume_monitor,Alert when incoming incident tickets exceed normal volume,Helpdesk API; historical volume baselines,Level 2,Operations Team,Platform agnostic,ServiceNow/Jira API,Baseline volumes defined; API credentials configured,
Operations & Support,oncall_rotation_violation_checker,Detect when on-call schedule breaches occur,On-call roster API; calendar integration,Level 2,Operations Team,Platform agnostic,Opsgenie/PagerDuty,Roster imported; Calendar webhooks enabled,
Operations & Support,service_restart_impact_analyzer,Correlate service restarts to end-user incident spikes,Monitoring API; ticketing system logs,Level 3,Operations Team,Platform agnostic,Prometheus/Kibana,Event correlation rules loaded; Ticket ingestion configured,
Operations & Support,patch_deployment_success_rate,Track percentage of successfully applied patches,Patch management API; endpoint inventory,Level 3,Operations Team,"Windows, Linux","WSUS/SCCM, MDM API",Patch policy loaded; Inventory sync enabled,
Operations & Support,capacity_planning_forecaster,Forecast resource exhaustion across compute and storage,Metrics API; ML model,Level 3,Operations Team,Platform agnostic,"Prometheus, ML Engine",Metrics exporter configured; Model endpoint integrated,
Operations & Support,configuration_backup_validator,Verify daily backups of critical configuration files,Git repo; backup storage API,Level 2,Operations Team,"Linux, Windows","Git, Storage API",Backup schedule defined; Repo credentials configured,
Operations & Support,log_retention_policy_enforcer,Ensure logs are retained per policy across all hosts,Log shipper; central log store API,Level 2,Operations Team,"Windows, Linux, macOS",Filebeat/Fluentd,Retention rules loaded; Shipper configured,
Operations & Support,service_health_check_scheduler,Automate periodic service health probes,HTTP/S probes; monitoring server,Level 2,Operations Team,Platform agnostic,Prometheus/Blackbox,Probe list imported; Alert rules defined,
Operations & Support,backup_verification_scheduler,Schedule and verify data backup integrity,Backup system API; checksum tool,Level 2,Operations Team,"Windows, Linux, macOS",Veeam/Azure/AWS Backup,Verification scripts configured; Schedule set,
Operations & Support,disk_space_monitor,Alert when disk usage crosses threshold,OS metrics exporter; monitoring integration,Level 1,Operations Team,"Windows, Linux, macOS",Prometheus,Exporter deployed; Thresholds defined,
Operations & Support,network_interface_status_checker,Detect downed or degraded network interfaces,SNMP/Netstat; agent,Level 2,Operations Team,"Linux, Windows",Agent (Tenantra),SNMP credentials configured; Agent enabled,
Operations & Support,process_uptime_monitor,Track critical process uptime/downtime,OS service manager; monitoring API,Level 2,Operations Team,"Windows, Linux",Prometheus,Process list imported; Exporter configured,
Operations & Support,kernel_error_log_analyzer,Scan kernel logs for OOPS or panics,Log parser; agent,Level 3,Operations Team,Linux,Agent (Tenantra),Kernel log access enabled; Patterns defined,
Operations & Support,firmware_version_audit,Ensure hardware firmware is up-to-date,Vendor API; asset inventory,Level 3,Operations Team,Platform agnostic,Asset DB,Firmware feed configured; Inventory synced,
Operations & Support,cron_job_failure_monitor,Alert when scheduled jobs fail to run,Cron logs; agent,Level 2,Operations Team,Linux,Agent (Tenantra),Log rotation configured; Failure patterns defined,
Operations & Support,windows_update_status_checker,Verify Windows updates applied successfully,WSUS/SCCM API; event logs,Level 2,Operations Team,Windows,WSUS/SCCM API,Update groups defined; Log ingestion configured,
Operations & Support,service_log_disk_usage_monitor,Alert when service log directories approach capacity,Filesystem metrics exporter,Level 2,Operations Team,"Windows, Linux",Prometheus,Paths configured; Thresholds defined,
Operations & Support,rack_power_usage_monitor,Track rack-level power consumption and alert on anomalies,PDUs API; SNMP,Level 3,Operations Team,Platform agnostic,PDU API,SNMP credentials configured; PDUs discovered,
Operations & Support,temperature_environment_monitor,Alert on high room or server ambient temperature,BMS/Datacentre API; agent,Level 2,Operations Team,Platform agnostic,BMS API,Sensor endpoints configured; Thresholds defined,
Operations & Support,idrac_ilo_health_checker,Monitor server out-of-band management interface health,iDRAC/iLO API; SNMP,Level 3,Operations Team,"Linux, Windows",iDRAC/ILO API,SNMP/integration configured; Credentials loaded,
Operations & Support,virtualization_host_health_monitor,Track ESXi/Hyper-V host resource usage and health,vSphere/Hyper-V API; agent,Level 3,Operations Team,"Windows, Linux",vSphere/PowerCLI/libvirt,Host credentials configured; Metrics exporter enabled,
Operations & Support,veeam_job_failure_analyzer,Analyze Veeam backup job failures and recommend remedies,Veeam API; backup logs,Level 3,Backup Team,Windows,Veeam Backup API,Job logs ingestion enabled; Analysis rules defined,
Operations & Support,vm_guest_tools_status_checker,"Ensure guest tools (VMware Tools, Integration Services) are active",Hypervisor agent; guest API,Level 2,Operations Team,"Windows, Linux",vSphere/Hyper-V API,Agent credentials configured; Tools presence probe configured,
Operations & Support,service_restart_auto_healer,Automatically restart failed services with minimal impact,Orchestration API; service control scripts,Level 3,Operations Team,"Windows, Linux",Ansible/Terraform,Restart playbooks defined; Orchestration credentials configured,
Operations & Support,network_latency_map_generator,Build network latency heatmaps across datacenters,ICMP/TCP probes; visualization engine,Level 3,Network Operations,"Linux, Windows","Grafana, Custom Script",Probe list loaded; Visual dashboard configured,
Operations & Support,nightly_maintenance_scheduler,Schedule and notify planned maintenance windows,Calendar API; notification service,Level 2,Operations Team,Platform agnostic,Google Calendar/Outlook,Maintenance windows defined; Notifications configured,
Operations & Support,disaster_recovery_ready_checkpoint,Verify DR runbooks are tested and checkpoints are up-to-date,DR logging; orchestration tool,Level 3,Infrastructure Team,Platform agnostic,Ansible/Terraform,Runbook versioning enabled; Checkpoint schedule defined,
Operations & Support,unattended_reboot_detector,Alert when hosts reboot without scheduled maintenance,System uptime logs; agent,Level 2,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Uptime logging enabled; Agent configured,
Operations & Support,failing_deployment_rate_monitor,Track failed application deployments,CI/CD API; deployment logs,Level 3,Operations Team,Platform agnostic,Jenkins/GitLab CI,Deployment webhooks enabled; Log ingestion configured,
Operations & Support,storage_smb_share_availability_checker,Monitor availability of critical SMB/NFS shares,SMB/NFS mount status; agent,Level 2,Operations Team,"Windows, Linux",Agent (Tenantra),Mount paths configured; Agent mount-check enabled,
Operations & Support,wireless_signal_strength_monitor,Alert on weak Wi-Fi signal levels in key areas,Wireless controller API; agent,Level 3,Operations Team,"Linux, Windows, macOS",Wireless Controller API,Probe endpoints defined; Agent configured,
Operations & Support,api_outage_impact_analyzer,Correlate API outages to ticket surges,API gateway logs; helpdesk API,Level 3,Operations Team,Platform agnostic,API Gateway API,Log forwarding enabled; Correlation rules defined,
Operations & Support,hypervisor_snapshot_health_checker,Verify VM snapshots complete without errors,Hypervisor API; storage API,Level 2,Operations Team,"Windows, Linux",vSphere/Hyper-V API,Snapshot schedule defined; API creds configured,
Operations & Support,ssl_cipher_strength_enforcer,Alert on servers permitting weak SSL/TLS ciphers,SSL scan engine; agent,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Cipher policy loaded; Agent scan enabled,
Operations & Support,configuration_compliance_drift_notifier,Notify when configuration drift detected against gold images,Golden image repo; diff engine,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Golden image snapshots stored; Diff schedule configured,
Operations & Support,orphaned_vm_cleanup_scheduler,Schedule detection and cleanup of unused VMs,Hypervisor API; CMDB,Level 2,Operations Team,"Windows, Linux",vSphere/Hyper-V API,CMDB sync enabled; Cleanup playbooks configured,
Operations & Support,scheduled_chaos_test_runner,"Automate chaos tests (service kill, network cuts)",Orchestration tool; test scripts,Level 4,Operations Team,Platform agnostic,Ansible/Terraform,Chaos playbooks imported; Schedule defined,
Operations & Support,container_disk_pressure_alert,Alert when container host disk usage across pods high,cAdvisor metrics; node exporter,Level 2,Operations Team,Linux,Prometheus,Exporters deployed; Threshold rules defined,
Operations & Support,cert_transparency_mismatch_detector,Detect mismatches between public CT logs and deployed certs,CT log API; SSL inventory,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Domain list imported; CT scan schedule defined,
Operations & Support,email_blackhole_rate_monitor,Track rate of undeliverable/bounced emails,SMTP logs; email service API,Level 2,Operations Team,"Linux, Windows",Exchange/Postfix API,Bounce logging enabled; Thresholds configured,
Operations & Support,dns_ttl_misconfiguration_checker,Alert on DNS records with TTLs outside policy,DNS server API,Level 2,Operations Team,"Windows, Linux",DNS Server API,Zone file TTL policy loaded; API creds configured,
Operations & Support,serial_console_error_monitor,Monitor serial console logs for hardware errors,IPMI/iLO API; syslog,Level 3,Operations Team,Linux,iDRAC/ILO API,Serial logging enabled; Agent configured,
Operations & Support,api_throttle_trigger_notifier,Notify when API throttle limits are hit,API gateway logs; notification engine,Level 3,Operations Team,Platform agnostic,API Gateway API,Throttle policy loaded; Alerts configured,
Operations & Support,iot_device_offline_detector,Detect offline IoT/edge devices,IoT platform API; agent,Level 3,Operations Team,"Linux, Windows",Custom IoT API,Device registry imported; Heartbeat enabled,
Operations & Support,tls_certificate_chain_validator,Ensure certificate chains are complete and valid,SSL scan engine; agent,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Chain definitions loaded; Agent scan schedule defined,
Operations & Support,regulatory_patch_window_tracker,Track compliance with regulatory patch windows,Patch management API; calendar integration,Level 3,Operations Team,"Windows, Linux","WSUS/SCCM, MDM API",Regulatory calendars loaded; Patch schedule imported,
Operations & Support,application_log_format_consistency_check,Verify application logs adhere to structured schema,Log parser; schema definitions,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Schema files imported; Parser configured,
Operations & Support,ssh_service_health_monitor,"Check SSHD health, banner settings, and login limits",SSH config; agent,Level 2,Operations Team,"Linux, Windows",Agent (Tenantra),SSHD config baseline loaded; Agent monitoring enabled,
Operations & Support,nfs_mount_performance_monitor,Track NFS mount latency and throughput,NFS client stats; agent,Level 3,Operations Team,Linux,Agent (Tenantra),Mount options baseline loaded; Exporter configured,
Operations & Support,backup_catalog_integrity_checker,Validate backup catalog entries against actual backup sets,Backup catalog DB; storage API,Level 3,Operations Team,"Windows, Linux, macOS",Backup Catalog DB,Catalog sync enabled; Integrity check scripts configured,
Operations & Support,multi_region_dns_failover_tester,Continuously test DNS failover among regions,External probes; DNS APIs,Level 4,Operations Team,Platform agnostic,External DNS API,Probe list loaded; Failover scripts integrated,
Operations & Support,service_dependency_dead_host_detector,Alert when a downstream service host is unresponsive,Service map; ping probes,Level 3,Operations Team,Platform agnostic,Custom Service Map,Dependency mapping defined; Probe schedule configured,
Operations & Support,dynamic_firewall_rule_audit,Detect firewall rules added/removed outside change windows,Firewall API; audit logs,Level 3,Operations Team,Network Appliance OS,Firewall API,Changelog integration; Audit schedule defined,
Operations & Support,failed_service_restart_loop_detector,Detect services repeatedly restarting in quick succession,Service manager logs; agent,Level 3,Operations Team,"Windows, Linux",Agent (Tenantra),Restart thresholds defined; Agent monitoring enabled,
Operations & Support,power_supply_failure_monitor,Alert on PSU failures or battery faults in servers,IPMI/Redfish logs; agent,Level 3,Operations Team,"Linux, Windows",IPMI/Redfish,Sensor thresholds loaded; Agent configured,
Operations & Support,core_dump_generation_detector,Notify when core dumps are generated on hosts,OS crash logs; agent,Level 2,Operations Team,Linux,Agent (Tenantra),Core dump collection enabled; Patterns defined,
Operations & Support,virtualization_license_compliance_monitor,Check hypervisor licensing status and compliance,Hypervisor API; license server,Level 2,Operations Team,"Windows, Linux",vSphere/Hyper-V API,License server creds configured; API integration enabled,
Operations & Support,scheduled_task_overrun_alert,Alert when scheduled maintenance tasks exceed expected duration,Task scheduler logs; agent,Level 2,Operations Team,"Windows, Linux",Agent (Tenantra),Task duration thresholds defined; Agent configured,
Operations & Support,dns_cache_poisoning_detector,Detect suspicious DNS cache entries,DNS server logs; agent,Level 4,Operations Team,"Linux, Windows",DNS Server,Cache monitor enabled; Threat feed configured,
Operations & Support,ssl_expiry_auto_notifier,Notify proactively before SSL certs expire,Cert inventory; notification engine,Level 2,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Certificate list loaded; Notification schedule defined,
Operations & Support,fs_mount_readonly_event_monitor,Alert when filesystems remount read-only unexpectedly,FS logs; agent,Level 3,Operations Team,"Linux, Windows",Agent (Tenantra),Mount event logging enabled; Alert rules loaded,
Operations & Support,api_version_compatibility_checker,Ensure current API clients are compatible with server versions,API docs; client version logs,Level 3,Operations Team,Platform agnostic,API Gateway API,Version mapping loaded; Log ingestion configured,
Operations & Support,log_file_descriptor_exhaustion_monitor,Alert when processes hit max file descriptor usage,OS metrics exporter; agent,Level 3,Operations Team,"Linux, Windows",Prometheus,FD metrics enabled; Thresholds defined,
Operations & Support,memory_leak_process_detector,Identify processes with growing memory usage over time,OS metrics; ML model,Level 4,Operations Team,"Linux, Windows","Prometheus, ML Engine",Metrics exporter configured; Model endpoint defined,
Operations & Support,pdu_overcurrent_event_alert,Monitor PDUs for overcurrent trips,PDU SNMP; agent,Level 3,Operations Team,Platform agnostic,PDU API,SNMP community configured; Thresholds defined,
Operations & Support,container_image_digest_mismatch_checker,Detect running containers whose image digest doesn’t match registry,Container runtime API; registry API,Level 3,Operations Team,Linux,Docker/K8s API,Registry credentials configured; Image matching rules set,
Operations & Support,auto_scaling_group_health_checker,Verify ASG instances all healthy and in service,Cloud API (AWS/Azure); monitoring logs,Level 3,Operations Team,Platform agnostic,AWS/Azure SDK,ASG definitions loaded; API creds configured,
Operations & Support,external_endpoint_ssl_config_checker,Check SSL/TLS configs of external endpoints,SSL scan; agent,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Endpoint list loaded; Scan schedule defined,
Operations & Support,ticket_to_incident_conversion_rate_monitor,Track ratio of tickets escalated to incidents,Helpdesk API; SOAR API,Level 2,Operations Team,Platform agnostic,ServiceNow/Resilient,Conversion rules defined; API creds configured,
Operations & Support,syslog_server_backlog_alert,Alert when syslog server message backlog grows too large,Syslog metrics; monitoring server,Level 3,Operations Team,Linux,rsyslog/Fluentd,Log backlog thresholds defined; Exporter configured,
Operations & Support,orchestration_job_failure_rate_monitor,Monitor failure rate of orchestration jobs,Orchestration API logs; agent,Level 3,Operations Team,Platform agnostic,Ansible/Terraform,Job logs enabled; Failure thresholds defined,
Operations & Support,user_session_duration_monitor,Track average user session lengths for remote access,RDP/VPN logs; agent,Level 2,Operations Team,"Windows, Linux",Agent (Tenantra),Session logs ingested; Thresholds defined,
Operations & Support,backup_validation_job_duration_tracker,Alert when backup validation jobs exceed expected run time,Backup API logs; agent,Level 2,Operations Team,"Windows, Linux, macOS",Veeam/Azure Backup,Validation schedules defined; Duration thresholds set,
Operations & Support,package_repository_sync_status_checker,Verify package repos (APT/YUM) sync successfully,Repo logs; agent,Level 2,Operations Team,Linux,Agent (Tenantra),Repo URLs loaded; Sync job logs enabled,
Operations & Support,ldap_query_response_time_monitor,Measure LDAP response times and alert on delays,LDAP server logs; agent,Level 3,Operations Team,"Linux, Windows",AD/LDAP API,LDAP monitoring enabled; Thresholds defined,
Operations & Support,virtualization_storage_latency_monitor,Alert on storage latency for VM datastores,Hypervisor API; storage metrics,Level 3,Operations Team,"Linux, Windows",vSphere/Hyper-V API,Storage pool metrics enabled; Alert rules defined,
Operations & Support,rack_uplink_port_error_rate_monitor,Monitor error rates on top-of-rack switch uplink ports,SNMP on switches; agent,Level 3,Operations Team,Network Appliance OS,Switch API,SNMP community strings loaded; Thresholds defined,
Operations & Support,unattended_service_disable_detector,Detect services that have been disabled unexpectedly,Service manager logs; agent,Level 2,Operations Team,"Windows, Linux",Agent (Tenantra),Monitoring of service states enabled; Agent configured,
Operations & Support,kernel_module_integrity_monitor,Verify kernel modules match expected checksums,Module hash database; agent,Level 3,Operations Team,Linux,Agent (Tenantra),Hash DB configured; Agent kernel monitoring enabled,
Operations & Support,hardware_temperature_alert,Alert when CPU/GPU/motherboard sensors exceed safe thresholds,IPMI/Redfish or sensor API; agent,Level 2,Operations Team,"Linux, Windows",IPMI/Redfish,Sensor thresholds loaded; Agent configured,
Operations & Support,container_runtime_version_audit,"Check container runtimes (Docker, containerd) are up-to-date",Runtime API; agent,Level 2,Operations Team,Linux,Docker/containerd API,Version baseline loaded; Agent configured,
Operations & Support,file_system_snapshot_consistency_checker,Validate filesystem snapshots are consistent and mountable,Snapshot API; mount tests; agent,Level 3,Operations Team,"Linux, Windows, macOS",Agent (Tenantra),Snapshot targets defined; Agent mount-check enabled,
Operations & Support,live_migration_failure_monitor,Track failures in VM live migrations,Hypervisor API; migration logs,Level 3,Operations Team,"Linux, Windows",vSphere/Hyper-V API,Migration logging enabled; Agent configured,
Operations & Support,network_interface_error_rate_monitor,"Alert when NIC error counters (CRC, collisions) increase",OS netdev stats; agent,Level 2,Operations Team,"Linux, Windows",Agent (Tenantra),Netdev monitoring enabled; Thresholds defined,
Operations & Support,raid_controller_health_monitor,Monitor RAID controller health status and battery/power status,MegaCLI/StorCLI or vendor API; agent,Level 3,Operations Team,"Linux, Windows",MegaCLI/StorCLI,Controller creds configured; Agent configured,
Operations & Support,security_patch_vulnerability_monitor,Identify missing security patches and CVEs on endpoints,OS vulnerability database; agent,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),CVE feed configured; Agent scanning schedule defined,
Operations & Support,time_synchronization_drift_monitor,Alert when NTP/PTP drift exceeds tolerance,NTP/PTP stats; agent,Level 2,Operations Team,"Linux, Windows",Agent (Tenantra),Time service configured; Drift threshold defined,
Operations & Support,disk_smart_failure_prediction_monitor,Predict disk failures using SMART attributes,SMART monitoring tool; agent,Level 4,Operations Team,"Linux, Windows",smartmontools/agent,SMART polling enabled; Failure thresholds defined,
Operations & Support,process_zombie_monitor,Detect and alert on zombie processes,OS process table; agent,Level 2,Operations Team,"Linux, Windows",Agent (Tenantra),Zombie detection enabled; Alert rules defined,
Operations & Support,user_login_anomaly_monitor,"Detect abnormal user login patterns (times, locations)",Auth logs; agent,Level 3,Operations Team,"Windows, Linux",Agent (Tenantra),Auth log ingestion; Anomaly model configured,
Operations & Support,api_latency_spike_detector,Alert on sudden spikes in API response times,API gateway metrics; agent,Level 3,Operations Team,Platform agnostic,API Gateway API,Metric collection enabled; Spike thresholds defined,
Operations & Support,certificate_transparency_log_mismatch_detector,Alert when CT log entries are missing for monitored certificates,CT log API; cert inventory,Level 3,Operations Team,"Windows, Linux, macOS",Agent (Tenantra),Certificate list loaded; CT log integration configured,
Operations & Support,scheduled_disk_defragmentation_monitor,Ensure disk defragmentation tasks run and complete successfully,OS scheduler logs; agent,Level 2,Operations Team,Windows,Agent (Tenantra),Defrag schedule defined; Agent monitoring enabled,
